0182	Parksidan	Ekerö	0125		22	331	1 476		23	494	2 169		0	163				
0272	Pershagen	Södertälje	0181		93	2 214	2 371		93	2 216	2 373		0	2				
0274	Raksta	Tyresö	0138		179	629	351		179	746	416		0	117				
0276	Resarö	Vaxholm	0187		281	2 347	836		310	2 946	951		29	599				
0278	Riala	Norrtälje	0188		53	212	397		54	215	395		1	3				
0280	Rimbo	Norrtälje	0188	1	255	4 606	1 810		257	4 629	1 800		3	23				
0284	Rosersberg	Sigtuna	0191		126	1 641	1 301		184	1 671	910		58	30				
0292	Rydbo	Österåker	0117		35	520	1 481		35	582	1 658		0	62				
0294	Rånäs	Norrtälje	0188	1	55	449	817		55	428	779		0	-21				
0286	Rättarboda	Upplands-Bro	0139						36	237	657							
0296	Saltsjöbaden	Nacka	0182	1	540	8 937	1 653		542	9 491	1 751		1	554				
0310	Sandviken	Södertälje	0181	1	72	340	475		72	338	472		0	-2				
0330	Segersäng	Nynäshamn	0192						56	608	1 083							
0298	Sibble	Botkyrka	0127		65	280	430		66	309	471		0	29				
0300	Sigtuna	Sigtuna	0191	1	393	7 204	1 831		457	8 444	1 849		63	1 240				
0304	Sjöberg	Sollentuna	0163	1	139	4 234	3 048		139	4 310	3 103		0	76				
0308	Skebobruk	Norrtälje	0188		132	265	201		132	282	214		0	17				
0312	Skeppsdalsström	Värmdö	0120	1	281	1 482	527		284	1 573	554		3	91				
0306	Skärgårdsstad	Österåker	0117		166	1 901	1 147		166	1 924	1 161		0	23				
0302	Solberga	Österåker	0117		108	352	327		108	409	380		0	57				
0318	Solsidan	Ekerö	0125		23	209	910		23	349	1 489		0	140				
0320	Sorunda	Nynäshamn	0192	1	110	1 354	1 227		110	1 307	1 185		0	-47				
0326	Stava	Österåker	0117		90	264	294		90	305	340		0	41				
0324	Stavsnäs	Värmdö	0120	1	55	731	1 326		57	810	1 421		2	79				
0328	Stenhamra	Ekerö	0125		291	3 280	1 128		291	3 336	1 147		0	56				
0332	Sticklinge udde	Lidingö	0186	1	122	2 937	2 412		122	2 943	2 417		0	6				
0336	Stockholm 28)	Stockholm	0180	1	37 604	1 252 118	3 330		38 163	1 372 565	3 597		559	120 447				
0340	Stora Vika	Nynäshamn	0192		46	585	1 261		48	651	1 366		1	66				
0342	Strömma	Värmdö	0120		232	516	223		232	579	250		0	63				
0266	Sundby	Ekerö	0125	1	20	271	1 340		21	270	1 265		1	-1				
0348	Svanberga	Norrtälje	0188		55	479	864		58	501	863		3	22				
0350	Svinninge	Österåker	0117	1	371	1 422	383		371	1 636	441		0	214				
0358	Sylta 3)	Upplands-Bro	0139		39	763	1 960				 							
0362	Söderby 	Ekerö	0125						59	250	427							
0352	Söderby-Karl	Norrtälje	0188	1	67	222	332		67	231	345		0	9				
0354	Södersvik 4)	Norrtälje	0188		95	260	274		80	281	350		-15	21				
0356	Södertälje	Södertälje	0181	1	2 553	60 279	2 361		2 584	64 619	2 500		31	4 340				
0366	Torsby	Värmdö	0120		147	481	327		147	477	324		0	-4				
0368	Tranholmen	Danderyd	0162		41	277	675		41	338	823		0	61				
0372	Tumba 28)	Botkyrka	0127		1 721	35 311	2 052		1 774	37 852	2 134		53	2 541				
0374	Tuna	Södertälje	0181		34	230	677		35	232	671		1	2				
0378	Tureholm	Ekerö	0125		94	259	274		95	260	274		1	1				
0288	Täby 28)	Täby	0160	1	2 572	58 593	2 278		2 581	61 272	2 374		9	2 679				
0290	Täljö	Österåker	0117		92	338	369		92	387	422		0	49				
0384	Upplands Väsby 28)	Upplands Väsby	0114		1 392	35 977	2 584		1 417	37 594	2 653		24	1 617				
0388	Vallentuna 28)	Vallentuna	0115	1	1 353	26 520	1 961		1 596	29 519	1 850		243	2 999				
0390	Vattubrinken	Södertälje	0181		69	313	453		69	332	480		0	19				
0392	Vaxholm	Vaxholm	0187	1	161	4 817	2 989		164	4 857	2 962		3	40				
0394	Vidja	Huddinge	0126	1	174	636	365		174	682	391		0	46				
0398	Viksäter	Södertälje	0181		52	309	596		63	459	727		11	150				
0396	Vårsta	Botkyrka	0127	1	133	2 353	1 774		133	2 396	1 806		0	43				
0402	Väländan	Haninge	0136		118	451	382		118	469	397		0	18				
0154	Värmdö-Evlinge	Värmdö	0120	1	124	490	394		124	559	449		0	69				
0404	Västerhaninge	Haninge	0136	1	912	14 060	1 542		932	15 134	1 625		19	1 074				
0408	Åkersberga	Österåker	0117	1	1 610	26 727	1 660		1 627	28 033	1 723		17	1 306				
0410	Återvall	Värmdö	0120		36	205	572		35	206	584		-1	1				
0412	Älmsta	Norrtälje	0188		119	924	776		120	1 097	912		1	173				
0416	Älta 28)	Nacka	0182	1	328	9 274	2 831		332	9 989	3 011		4	715				
0414	Älvnäs	Ekerö	0125		54	517	951		54	601	1 105		0	84				
0418	Ängsvik	Värmdö	0120		19	410	2 151		19	403	2 114		0	-7				
0424	Ölsta 	Ekerö	0125						76	267	351							
0420	Ösmo	Nynäshamn	0192	1	202	3 635	1 803		219	3 911	1 783		18	276				
0426	Österhagen och Bergliden 2)	Upplands-Bro	0139						22	213	962							
0422	Östhamra	Norrtälje	0188		69	254	366		78	255	328		8	1				
0406	Östorp och Ådran 2) 28)	Huddinge	0126						108	244	227							
0428	Östra Kallfors	Södertälje	0181						35	386	1 119		35	386				
0500	Almunge	Uppsala	0380	1	77	691	901		85	813	962		8	122
0504	Alsike	Knivsta	0330	1	196	1 682	858		238	2 681	1 125		42	999				
0508	Alunda	Östhammar	0382	1	205	2 224	1 082		228	2 317	1 015		23	93				
0512	Björklinge	Uppsala	0380	1	270	3 186	1 180		270	3 269	1 209		0	83				
0650	Blackstalund	Uppsala	0380						65	210	325							
0612	Bredsand 2)	Enköping	0381						85	465	550							
0520	Bålsta	Håbo	0305	1	1 058	13 430	1 270		1 073	14 147	1 319		15	717				
0524	Bälinge	Uppsala	0380		123	2 166	1 768		140	2 437	1 740		18	271				
0526	Bärby	Uppsala	0380		23	215	933		23	220	955		0	5				
0528	Dannemora	Östhammar	0382		66	238	363		66	213	325		0	-25				
0532	Enköping	Enköping	0381	1	1 058	20 204	1 910		1 067	21 121	1 980		9	917				
0536	Fjärdhundra	Enköping	0381		108	926	855		108	951	878		0	25				
0540	Gimo	Östhammar	0382	1	309	2 702	874		313	2 688	858		4	-14				
0544	Grillby	Enköping	0381		84	1 001	1 186		85	972	1 138		1	-29				
0548	Gunsta	Uppsala	0380		30	371	1 240		30	380	1 270		0	9				
0552	Gårdskär	Älvkarleby	0319		71	348	490		71	352	495		0	4				
0556	Gåvsta	Uppsala	0380	1	38	401	1 048		44	549	1 250		6	148				
0558	Haga	Enköping	0381		38	236	625		38	257	681		0	21				
6228	Harbo	Heby	0331		105	702	670		105	721	688		0	19				
0560	Hargshamn	Östhammar	0382		81	304	376		84	312	371		3	8				
